Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss | Advice4all,https://advice4all.eu/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,138,45,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch - TechField,http://techfield.org/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,9,142,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch - TechField,http://techfield.org/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,9,142,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Health + Fitness Archives - INTERWEBS,https://interwebs.store/tag/health-fitness/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,$199.00 Check it out!,16,287,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech News Park,http://www.technewspark.com/europe/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,7,160,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech News Park,http://www.technewspark.com/europe/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,7,160,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,5,Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss – TechCrunch - WebDnet,http://webdnet.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,4,108,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,5,Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss – TechCrunch - WebDnet,http://webdnet.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,4,108,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/#masthead,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,6,2901,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/#masthead,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,6,2901,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Maxx Consulting di Maurizio Triggiani,http://www.mxcs.it/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-2/#content,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,3,25,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
1,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Maxx Consulting di Maurizio Triggiani,http://www.mxcs.it/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-2/#content,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,3,25,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,10,Lumen Hit Their Indiegogo Funding Goal - Geek News Central,https://geeknewscentral.com/2018/08/14/lumen-hit-their-indiegogo-funding-goal/#content,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,41,34,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,"Good News Israel! New Device Tells if You're Burning Fat or Carbs, Nitrogen Test for Early Cancer Diagnosis, and Much More! | Americans United with Israel",https://americaunitedwithisrael.org/good-news-israel-new-device-tells-if-youre-burning-fat-or-carbs-nitrogen-test-for-early-cancer-diagnosis-and-much-more/#disqus_thread,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight-apps-food#/,35,122,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,7,Lumen (Nutrition Monitor) | Straight to the Bar : Helping you get stronger since 2004,http://straighttothebar.com/articles/2018/07/lumen_nutrition_monitor/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,The Lumen.,88,114,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
1,8,Lumen.me promises to help you lose weight with your iPhone,http://appleinsider.com/articles/18/07/25/lumenme-promises-to-help-you-lose-weight-with-your-iphone,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,order it for $199 by backing the Indiegogo project,58,111,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,1,Ubergizmo - Opinionated news and reviews of consumer electronics (archive ID #1369) - Read it at RSS2.com,http://rss2.com/feeds/ubergizmo/1369/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Launching on Indiegogo,109,79,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
1,4,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,,14,544,false,false,false,false,true,false,2018-08-25,2018-08-27,false,false
1,4,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegog...olism-lose-weight,14,544,false,true,false,false,false,false,2018-08-25,2018-08-27,false,false
1,4,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen: Hack your metabolism & lose weight,14,544,false,true,false,false,false,false,2018-08-25,2018-08-27,false,false
1,4,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,FIND OUT MORE VISIT THE PROJECT PAGE,14,544,false,true,false,false,false,false,2018-08-25,2018-08-27,false,false
1,10,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,,13,557,false,false,false,false,true,false,2018-09-04,2018-09-20,false,false
1,10,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegog...olism-lose-weight,13,557,false,true,false,false,false,false,2018-09-04,2018-09-20,false,false
1,10,Lumen: Hack your metabolism & lose weight on The Crowdfunding Center,http://www.thecrowdfundingcenter.com/?id=F22325&page=project,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen: Hack your metabolism & lose weight,13,557,false,true,false,false,false,false,2018-09-04,2018-09-20,false,false
1,1,salud – PcDeMaNo,https://www.pcdemano.com/tag/salud/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,LUMEN,8,121,false,true,false,false,false,false,2018-10-26,2018-11-21,true,false
